pageurl,crawl_timestamp,job_title,category,company_name,city,post_day,post_month,post_year,post_date,job_type,job_board,geo,salary_offered_min,salary_offered_max,Mean_Salary,state,lat,long
https://www.seek.com.au/job/37597112,2018-10-31 02:53:22 +0000,Administration Officer,Administration & Office Support,Hudson,ACT,30,October,2018,30-Oct-18,Contract/Temp,seek,AU,40,45,42.5,ACT,-35.282001,149.128998
https://www.seek.com.au/job/36212787,2018-05-14 01:17:57 +0000,Customer Service Officer,Call Centre & Customer Service,Hays Contact Centres,Melbourne,13,May,2018,13-May-18,Full Time,seek,AU,"55,000","65,000",60000,VIC,"	-37.020100",144.9646
https://www.seek.com.au/job/37599867,2018-10-31 01:45:22 +0000,"Mechanical, Medical Devices Engineer, Scientist , Researchers - Patent Examiners",Government & Defence,IP Australia,ACT,30,October,2018,30-Oct-18,Full Time,seek,AU,"76,583","1,07,217",91900,ACT,-35.282001,149.128998
https://www.seek.com.au/job/37597148,2018-10-31 02:34:50 +0000,Analyst Programmer,Government & Defence,Defence Housing Australia,ACT,30,October,2018,30-Oct-18,Full Time,seek,AU,"73,298","80,003",76650.5,ACT,-35.282001,149.128998
https://www.seek.com.au/job/36210343,2018-05-14 01:54:43 +0000,Internet Engineer,Information & Communication Technology,Balance Recruitment,Sydney,13,May,2018,13-May-18,Contract/Temp,seek,AU,82,90,86,NSW,-31.840233,145.612793
https://www.seek.com.au/job/36212258,2018-05-14 01:30:44 +0000,Customer Claims Consultant,Retail & Consumer Products,Hays Talent Solutions,Sydney,13,May,2018,13-May-18,Contract/Temp,seek,AU,27,28,27.5,NSW,-31.840233,145.612793
https://www.seek.com.au/job/36210271,2018-05-14 01:51:06 +0000,Full time Bartender in Melbourne,Hospitality & Tourism,Jora Local,Melbourne,13,May,2018,13-May-18,Full Time,seek,AU,"60,000","69,999",64999.5,VIC,"	-37.020100",144.9646
https://www.seek.com.au/job/36212183,2018-05-14 01:37:06 +0000,Recycling Yard Hand - Pallet Repair,"Manufacturing, Transport & Logistics",Tom's Pallets,Brisbane,13,May,2018,13-May-18,Casual/Vacation,seek,AU,20,25,22.5,QLD,-20.917574,142.702789
https://www.seek.com.au/job/36210734,2018-05-14 01:40:29 +0000,Finance and Insurance Business Manager,Banking & Financial Services,Leopard Recruitment,Melbourne,13,May,2018,13-May-18,Full Time,seek,AU,"75,000","80,000",77500,VIC,"	-37.020100",144.9646
https://www.seek.com.au/job/36210178,2018-05-14 01:47:16 +0000,Welders- Flux Core,Trades & Services,WorkPac - Perth,Perth,13,May,2018,13-May-18,Casual/Vacation,seek,AU,26,35,30.5,WA,-25.042261,117.793221
https://www.seek.com.au/job/36213277,2018-05-14 01:15:10 +0000,Senior CTP Claims Consultant,Legal,legal eagles,Brisbane,14,May,2018,14-May-18,Full Time,seek,AU,"1,00,000","1,25,000",112500,QLD,-20.917574,142.702789
https://www.seek.com.au/job/36212285,2018-05-14 01:31:26 +0000,Land Coordinator,Real Estate & Property,Metricon Homes,Melbourne,13,May,2018,13-May-18,Full Time,seek,AU,"40,000","59,999",49999.5,VIC,"	-37.020100",144.9646
https://www.seek.com.au/job/36210131,2018-05-14 01:48:01 +0000,Reach Forklift Drivers,"Manufacturing, Transport & Logistics",Elite Staffing Solutions Pty Ltd,Melbourne,13,May,2018,13-May-18,Casual/Vacation,seek,AU,24,28,26,VIC,"	-37.020100",144.9646
https://www.seek.com.au/job/36211437,2018-05-14 01:26:51 +0000,Dual Qualified Auto Electrician & Mechanic Wanted,Trades & Services,Entire Recruitment,Brisbane,13,May,2018,13-May-18,Contract/Temp,seek,AU,30,35,32.5,QLD,-20.917574,142.702789
https://www.seek.com.au/job/37596955,2018-10-31 02:53:54 +0000,Front Office Receptionist,Hospitality & Tourism,Quest Canberra,ACT,30,October,2018,30-Oct-18,Casual/Vacation,seek,AU,25,34.99,29.995,ACT,-35.282001,149.128998
https://www.seek.com.au/job/36211428,2018-05-14 01:22:55 +0000,Executive Manager – People & Culture (Operations),Community Services & Development,Interchange Inc.,Perth,13,May,2018,13-May-18,Full Time,seek,AU,"70,000","72,000",71000,WA,-25.042261,117.793221
https://www.seek.com.au/job/37600061,2018-10-31 01:35:37 +0000,"Mechanical, Medical Devices Engineer, Scientist , Researchers - Patent Examiners",Government & Defence,IP Australia,ACT,31,October,2018,31-Oct-18,Full Time,seek,AU,"76,583","1,07,217",91900,ACT,-35.282001,149.128998
https://www.seek.com.au/job/36210712,2018-05-14 01:41:39 +0000,Principal Consultant,Consulting & Strategy,Peoplebank Australia NSW,Sydney,13,May,2018,13-May-18,Full Time,seek,AU,"1,80,000","2,00,000",190000,NSW,-31.840233,145.612793
https://www.seek.com.au/job/36211040,2018-05-14 01:34:52 +0000,Project Engineer Roads - Brisbane,Engineering,Rob Law maxrecruitment,Brisbane,13,May,2018,13-May-18,Full Time,seek,AU,"1,10,000","1,50,000",130000,QLD,-20.917574,142.702789
https://www.seek.com.au/job/36210879,2018-05-14 01:30:51 +0000,Sales - Technology Sales Rep - Salesforce Partner,Sales,Stream Consulting Group,Sydney,13,May,2018,13-May-18,Full Time,seek,AU,"60,000","70,000",65000,NSW,-31.840233,145.612793
